metabolite,SampleID,flux,description
2omxyl_m,SRR19820311,0.000533974,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
h_m,SRR19820364,27.92671533,proton
mqn8_m,SRR19820364,12.13480496,Menaquinone 8
h2s_m,SRR19820364,1.00E-06,Hydrogen sulfide
so4_m,SRR19820364,1.545890703,sulfate
co2_m,SRR19820364,1.00E-06,carbon dioxide
tma_m,SRR19820364,1.00E-06,trimethylamine
mqn7_m,SRR19820364,1.00E-06,Menaquinone 7
tmao_m,SRR19820364,1.673928563,Trimethylamine N-oxide
ppa_m,SRR19820364,1.00E-06,propionate
h2o_m,SRR19820364,0.268221284,Water
so3_m,SRR19820364,0.145845559,Sulfite
tsul_m,SRR19820364,1.00E-06,thiosulfate(2-)
pac_m,SRR19820364,1.00E-06,phenylacetate
4hbz_m,SRR19820364,1.00E-06,4-hydroxybenzoate
o2_m,SRR19820364,0.387884219,O2
btd_RR_m,SRR19820364,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820364,1.00E-06,L-fucose
phenol_m,SRR19820364,1.00E-06,Phenol
isobut_m,SRR19820364,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820364,1.00E-06,4-hydroxyphenylacetate
cit_m,SRR19820364,1.00E-06,Citrate
4hoxpacd_m,SRR19820364,1.00E-06,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820364,1.00E-06,Isocaproate
nac_m,SRR19820364,0.096262556,Nicotinate
2obut_m,SRR19820364,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820364,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820364,1.00E-06,D-gluconate
ttdca_m,SRR19820364,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820364,1.00E-06,Riboflavin
ch4s_m,SRR19820364,1.00E-06,Methanethiol
ocdca_m,SRR19820364,1.00E-06,octadecanoate (n-C18:0)
hdca_m,SRR19820364,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820364,1.00E-06,Xanthine
ppi_m,SRR19820364,0.017728688,Diphosphate
2hyoxplac_m,SRR19820364,1.00E-06,2-Hydroxyphenylacetate
isoval_m,SRR19820364,1.00E-06,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820364,1.00E-06,Hypoxanthine
thymd_m,SRR19820364,1.00E-06,Thymidine
apio_D_m,SRR19820364,0.000800961,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820364,0.000266987,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
